ThreadLocalRandom	60	70.3388889445779	130.33886172829193	0.70340649504069	1.30342122128671	86703
Random	60	70.31419006518502	130.31430419153574	0.70315588500417	1.30316890634503	92965
SecureRandom	60	70.30705647204788	130.30845659342825	0.70306972100097	1.30308294715323	236291
Well512a	60	70.2897687385667	130.28830072708757	0.70289300689371	1.30287427262049	90528
Well1024a	60	70.29297469933957	130.2923483848559	0.7029150885373	1.30289629259285	89585
Well19937a	60	70.30225257938395	130.30111518854292	0.70301737377529	1.30300153690775	91484
Well19937c	60	70.31600733556233	130.3155402913325	0.70317456527263	1.30318218351943	92760
Well44497a	60	70.33002290991921	130.33163470455548	0.70331755073752	1.30334840847069	92308
Well44497b	60	70.31062464832367	130.3103964428964	0.70310702927235	1.30310537887137	92027
MersenneTwister	60	70.32523504446964	130.32829005422428	0.70324678085406	1.3032725528176	89058
ISAAC	60	70.33070749140832	130.33238812685093	0.70332958270235	1.30336555737074	99286
XoRoShiRo128++	60	70.30141361485221	130.30152521868803	0.70299220575901	1.30297455166798	88475
XoRoShiRo128**	60	70.33857504777902	130.3384743550809	0.70339886833676	1.30340901008642	88040
XoRoShiRo64**	60	70.31054308864165	130.30917002510614	0.70311630391468	1.30311181622398	87957
L32X64Mix	60	70.30231935914404	130.3002787265344	0.70301603769106	1.30298949937136	90841
Drand48	60	70.20319221892326	130.18774920093998	0.70198803941111	1.30179609138704	89872
ThreadLocalRandom	61	73.65716480134188	134.65759313392905	0.73656746207194	1.3465682409656	91405
Random	61	73.65211256291668	134.649568574585	0.73651932865756	1.34649237176189	91155
SecureRandom	61	73.67598621254255	134.67574636015138	0.73674718152054	1.34673424967225	251055
Well512a	61	73.67578634172376	134.67378956610605	0.73678163684009	1.34678133072304	95873
Well1024a	61	73.69811283324614	134.70048466197966	0.73699249313768	1.3470255666615	96967
Well19937a	61	73.7072189584405	134.70752213280502	0.73711618612003	1.34715559517225	97123
Well19937c	61	73.65559465155496	134.654048543155	0.73655716472	1.3465426908128	95619
Well44497a	61	73.69022781463417	134.69209558528675	0.73689092197752	1.34690016804496	97084
Well44497b	61	73.67816882842985	134.67903398610815	0.73682105681227	1.34686227031946	103866
MersenneTwister	61	73.63457705816202	134.63384567514433	0.73631799370667	1.34628760278758	90433
ISAAC	61	73.65271593100856	134.65416379900992	0.73651600686434	1.34652122700174	89870
XoRoShiRo128++	61	73.660291822022	134.6598824539274	0.73657233512151	1.34654288842252	90230
XoRoShiRo128**	61	73.6770408689495	134.67772461359434	0.73678727811655	1.34680804285827	90356
XoRoShiRo64**	61	73.70043134390704	134.70098652478663	0.73702597196866	1.34704936129619	89767
L32X64Mix	61	73.65506319366486	134.65557544139114	0.73653434750041	1.34652595138911	90618
Drand48	61	73.7040859759403	134.7115251346652	0.73711318512097	1.34724741385466	89283
ThreadLocalRandom	62	77.2135045330748	139.21299943179739	0.77212478342212	1.39211145852458	90663
Random	62	77.22718698716606	139.22774250653407	0.77228689396877	1.39230448469607	89210
SecureRandom	62	77.25058942714487	139.2522540390206	0.77255339953699	1.39260814874838	234185
Well512a	62	77.21713434801187	139.21694891533647	0.77216040107821	1.39214969262438	89717
Well1024a	62	77.19907250097307	139.19748397097598	0.77197612845701	1.3919484993645	90473
Well19937a	62	77.19185708176181	139.19056135802037	0.7718832088494	1.39184181679097	90630
Well19937c	62	77.21834006400184	139.21789465435188	0.77218973084415	1.39219033364276	91015
Well44497a	62	77.20068590053847	139.1980059021491	0.77198123088378	1.39193379433387	91518
Well44497b	62	77.20286327368862	139.19989753907262	0.77204025625617	1.39201987585212	91538
MersenneTwister	62	77.22460413665152	139.22481282204194	0.77224386467584	1.392244157144	88513
ISAAC	62	77.22964574482393	139.23167465614827	0.77230850745626	1.3923384518763	88942
XoRoShiRo128++	62	77.23721362345132	139.2374638089028	0.772395652167	1.39241698992777	87941
XoRoShiRo128**	62	77.2084407842308	139.20699601258218	0.77209369665774	1.39208666534982	87919
XoRoShiRo64**	62	77.21589134998747	139.21466465379456	0.77217559966837	1.39217669944829	87826
L32X64Mix	62	77.20228033190973	139.20128580642933	0.772003526295	1.39197807394944	88439
Drand48	62	77.32472229096997	139.33225698193957	0.77324423356641	1.39331715789765	86844
ThreadLocalRandom	63	81.01094701110102	144.00906882371277	0.81016056080759	1.44018146632938	88028
Random	63	81.00371246592073	144.00261258892502	0.81005013940266	1.44004924309004	88886
SecureRandom	63	81.00516194922349	144.0044992268995	0.81005245741437	1.44004641506658	235793
Well512a	63	80.98307974049668	143.98174502791434	0.80983810900251	1.43983038881144	89353
Well1024a	63	80.9823935058983	143.98078334660693	0.80981999824679	1.43980078098545	90812
Well19937a	63	81.00384323002713	144.00508584485215	0.81002999438866	1.44003583428554	90911
Well19937c	63	80.97125294488146	143.96926739390622	0.8096796823562	1.43963422269839	90923
Well44497a	63	81.01231725216542	144.01446497865166	0.81007652506923	1.44006168595339	91665
Well44497b	63	80.99847481226232	143.9987083916963	0.80997294494131	1.43996604456123	92048
MersenneTwister	63	81.01090404398595	144.01266549168716	0.81009641341799	1.44010416468503	88831
ISAAC	63	80.9791179383016	143.9786400007545	0.80980086347152	1.43980357563719	89328
XoRoShiRo128++	63	80.98636964565482	143.9860160811226	0.80987529909887	1.43988076350488	88249
XoRoShiRo128**	63	81.0197044926384	144.0204278050421	0.81019881755974	1.44020740609718	88275
XoRoShiRo64**	63	81.00783638038021	144.0059742037992	0.81010521051596	1.44010736661634	88116
L32X64Mix	63	81.00412532811033	144.0036473891463	0.81010144039831	1.44014343278631	89388
Drand48	63	81.02327547167496	144.03177609267885	0.81008687454449	1.44005841709073	87586
ThreadLocalRandom	64	85.02800221254343	149.0315061752744	0.85024083673029	1.49024635140819	88526
Random	64	85.00886507463397	149.00805776657936	0.85012983560282	1.49015271668687	88867
SecureRandom	64	85.0362056276023	149.03893716984345	0.85035889548115	1.49038380388157	236532
Well512a	64	85.00682150918438	149.00514078965267	0.85011293602886	1.49012976096256	89723
Well1024a	64	84.98862280087596	148.9881110008153	0.84982443889998	1.48977275652018	90564
Well19937a	64	84.99968453540448	148.9983250564313	0.85001116583632	1.49000826343486	91169
Well19937c	64	85.02000754565091	149.01950954836005	0.85020058159228	1.49019595636603	91062
Well44497a	64	85.01864681593347	149.01996208469583	0.85016206708728	1.49015680009889	91928
Well44497b	64	85.0050927618066	149.00668181169988	0.8500031765835	1.48998307349148	92350
MersenneTwister	64	84.99085966903489	148.9907049240109	0.84987731798727	1.48985218765859	91556
ISAAC	64	85.02397533038423	149.02519287656185	0.85023992210058	1.490252181355	88815
XoRoShiRo128++	64	85.03018895271701	149.03202489299463	0.85032653962471	1.49036342338408	87879
XoRoShiRo128**	64	85.01440947104578	149.01523128229286	0.85016482045102	1.49018856911115	87734
XoRoShiRo64**	64	85.01671315090707	149.01628866367034	0.85008840373995	1.49002485731149	87662
L32X64Mix	64	85.00888217574857	149.00777966702705	0.85008135337314	1.49006463657671	88134
Drand48	64	85.07108636194792	149.07323012395491	0.85080840296755	1.49090316721769	86665
ThreadLocalRandom	65	89.28257310136719	154.28393646736157	0.89281947035823	1.54282847419051	87963
Random	65	89.27438845717987	154.2751788081295	0.8927379915986	1.54274156412562	88148
SecureRandom	65	89.29403862033121	154.29451432912515	0.89292076581218	1.54291119188293	238261
Well512a	65	89.30385141493383	154.30473778129192	0.89307577641991	1.54311171479358	98286
Well1024a	65	89.26562226478593	154.26526353697312	0.89263137302733	1.5426096661987	98308
Well19937a	65	89.2756366281917	154.27537896386477	0.89272822231096	1.54270511477404	96782
Well19937c	65	89.28228267709763	154.28338807631482	0.8928052155295	1.54280342056456	91405
Well44497a	65	89.28915087625045	154.28848513790197	0.89286595581697	1.54284064163161	91699
Well44497b	65	89.2840783207401	154.2833012629852	0.89284550934135	1.5428411329561	92272
MersenneTwister	65	89.30599182655652	154.3072510598998	0.89307308555561	1.54309521534895	91063
ISAAC	65	89.29606150695076	154.29802472739544	0.89295780077101	1.5429753524751	89820
XoRoShiRo128++	65	89.26315168324614	154.26076822725435	0.89266401427272	1.54266380953561	89997
XoRoShiRo128**	65	89.25121795549288	154.24751410873847	0.89250707592667	1.54246626255235	90034
XoRoShiRo64**	65	89.27678282883153	154.27461556039282	0.89274586648473	1.54270816701413	88871
L32X64Mix	65	89.26858758829786	154.26825247752035	0.89271290465773	1.54272921155849	89199
Drand48	65	89.20619135291842	154.20320101540847	0.89213921896907	1.54216562250961	87097
ThreadLocalRandom	66	93.85774081861284	159.86030088838262	0.93857139900035	1.59859270521427	88642
Random	66	93.87487280745408	159.8742113172901	0.93877413078922	1.59878535609315	89066
SecureRandom	66	93.82955780828479	159.8290831062314	0.9382574770588	1.59822589743925	232691
