ThreadLocalRandom	99.9920057686267	25000141	74999615	100000233	3254.0403987873915	1081.4405368196258	3614.161057850769	1201.4398463123275	8.13588352808102	8.11142642605575	9.03626094926154	9.01148691839051	12147
ThreadLocalRandom	99.99460239397997	24999841	74999938	100000259	3264.586794678854	1077.7635393439061	3624.702078805881	1197.7574513021846	8.16193931621024	8.08366577739881	9.06227004703302	8.98366646608706	12217
ThreadLocalRandom	99.99108608290882	24998029	75001770	100000257	3237.12597458948	1078.740503591928	3597.1424495477836	1198.7272348782806	8.09295167256768	8.0914730960662	8.99300071514949	8.99147305964048	12284
ThreadLocalRandom	99.9996385205929	25001146	74998727	100000164	3229.027569577483	1079.829668009228	3589.0447614920845	1199.83521739193	8.07301057352437	8.09861727189775	8.97309725008415	8.99864604564727	12258
ThreadLocalRandom	100.0035525432502	24998637	75001146	100000190	3246.1363779914886	1081.9181611355539	3606.2465052924285	1201.9227756641894	8.11469473479691	8.1142363967882	9.01488889482764	9.01425208997135	12264
ThreadLocalRandom	99.9975062948129	24998653	75001112	100000193	3238.3126365980324	1081.2901430262211	3598.226093140116	1201.2960101265753	8.0956460040864	8.11000319941472	8.99540319620004	9.01008181882474	13105
ThreadLocalRandom	99.98756427183548	24996191	75003555	100000256	3238.8925466631704	1083.8278146234907	3598.909476706381	1203.8539296195445	8.09711633636301	8.13012272221236	8.99713257616254	9.03047192583298	12335
ThreadLocalRandom	100.00309347455548	24998662	75001126	100000176	3246.9520873361557	1077.5390402504247	3606.988685477459	1197.5240855706063	8.11674118646512	8.08143533969436	9.01675570032604	8.9813076680416	12337
ThreadLocalRandom	99.99777788451077	24998516	75001321	100000203	3233.117550352231	1077.8518013792777	3592.974068617324	1197.8352286091574	8.08253821775394	8.08423250770135	8.98214608406491	8.98414342893383	12506
ThreadLocalRandom	100.00046635888997	25005901	74993813	100000238	3254.9818549675415	1078.089686129757	3615.0314315483784	1198.091454623644	8.1394417388631	8.08498411605009	9.03977298827193	8.98491767590275	12392
ThreadLocalRandom	100.00198381404861	25003545	74996316	100000300	3252.184105514037	1079.1793957119744	3612.200674198388	1199.1818572255083	8.13148642934238	8.09329292724875	9.03163643041084	8.99324741011655	13335
ThreadLocalRandom	99.98782243301562	25009838	74989979	100000189	3251.8725415696504	1078.5227350726743	3611.8195502023636	1198.5021097964334	8.1339299405901	8.08883625891063	9.03426072323924	8.98866975419071	12536
ThreadLocalRandom	99.99171832631482	24995382	75004342	100000197	3253.5928779440846	1083.4639064694577	3613.6136652330883	1203.464777626862	8.13328655292964	8.12713098624825	9.03324646982749	9.02726294730565	12866
ThreadLocalRandom	100.00804970043909	25001801	74997932	100000243	3231.1542747184976	1079.7999261075993	3591.164936757093	1199.8014727539482	8.07791344070723	8.09764669585484	8.97793106882474	8.99755970546637	12560
ThreadLocalRandom	99.99641074653253	25003511	74996274	100000182	3262.2869430049627	1076.6336608160266	3622.254038487428	1196.6314873840229	8.15725573417805	8.07465581831178	9.05733158888538	8.97462623045731	13543
ThreadLocalRandom	99.98843400417282	24997361	75002469	100000209	3220.409846373956	1082.3783093979584	3580.3403699704377	1202.3671912330203	8.05116189794835	8.11905390850429	8.95099622828413	9.01910292442073	12770
ThreadLocalRandom	100.00686339853819	24997525	75002255	100000167	3255.3974724623467	1080.2306720960892	3615.508227437921	1200.2333561766513	8.13722218025986	8.10143084490156	9.03734763302767	9.00141592662858	13092
ThreadLocalRandom	99.97978157731096	24998979	75000827	100000234	3249.871411295825	1084.762416767036	3609.9855138445832	1204.7634986767084	8.12604898517066	8.13746579629209	9.02647847822493	9.03766416526505	12576
